# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
FHOD3	ENSCAFG00000017786	ENSCAFT00000028200	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
FHOD3	ENSCAFG00000017786	ENSCAFT00000044593	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
FHOD3	ENSCAFG00000017786	ENSCAFT00000049835	protein_coding	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
FIBCD1	ENSCAFG00000019930	ENSCAFT00000031707	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FIBP	ENSCAFG00000013153	ENSCAFT00000020889	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FIBP	ENSCAFG00000013153	ENSCAFT00000038587	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FIGN	ENSCAFG00000010526	ENSCAFT00000016718	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FIGN	ENSCAFG00000010526	ENSCAFT00000044455	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FITM1	ENSCAFG00000011905	ENSCAFT00000018909	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FKBP14	ENSCAFG00000003044	ENSCAFT00000004902	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FKBP5	ENSCAFG00000001343	ENSCAFT00000002086	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FKBP6	ENSCAFG00000013176	ENSCAFT00000020922	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FKTN	ENSCAFG00000002770	ENSCAFT00000004427	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FLII	ENSCAFG00000018283	ENSCAFT00000029049	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FLII	ENSCAFG00000018283	ENSCAFT00000047161	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FLRT3	ENSCAFG00000005560	ENSCAFT00000008959	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FLT1	ENSCAFG00000006701	ENSCAFT00000010807	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FLT3	ENSCAFG00000006716	ENSCAFT00000010813	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FLT3	ENSCAFG00000006716	ENSCAFT00000043308	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FLT3	ENSCAFG00000006716	ENSCAFT00000047140	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FLVCR2	ENSCAFG00000017048	ENSCAFT00000026999	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FMN1	ENSCAFG00000008199	ENSCAFT00000013036	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FMNL1	ENSCAFG00000013819	ENSCAFT00000021936	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMNL1	ENSCAFG00000013819	ENSCAFT00000044855	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMNL1	ENSCAFG00000013819	ENSCAFT00000049170	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMNL2	ENSCAFG00000005811	ENSCAFT00000009376	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FMNL2	ENSCAFG00000005811	ENSCAFT00000043228	protein_coding	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
FMNL3	ENSCAFG00000008465	ENSCAFT00000013467	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMNL3	ENSCAFG00000008465	ENSCAFT00000044325	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FMNL3	ENSCAFG00000008465	ENSCAFT00000045951	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FN1	ENSCAFG00000014345	ENSCAFT00000022799	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FN1	ENSCAFG00000014345	ENSCAFT00000043476	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FNBP1	ENSCAFG00000019963	ENSCAFT00000031775	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FNBP1	ENSCAFG00000019963	ENSCAFT00000042746	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FNBP4	ENSCAFG00000008315	ENSCAFT00000013221	protein_coding	0	1	0	4	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0
FNBP4	ENSCAFG00000008315	ENSCAFT00000048674	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FNDC3B	ENSCAFG00000015349	ENSCAFT00000024382	protein_coding	0	0	1	2	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
FNDC7	ENSCAFG00000019929	ENSCAFT00000031706	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FNDC8	ENSCAFG00000018291	ENSCAFT00000029057	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOCAD	ENSCAFG00000025256	ENSCAFT00000039148	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FOSL1	ENSCAFG00000013132	ENSCAFT00000020852	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FOXA3	ENSCAFG00000004363	ENSCAFT00000007001	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXB1	ENSCAFG00000025176	ENSCAFT00000039029	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXJ3	ENSCAFG00000002563	ENSCAFT00000004039	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FOXL1	ENSCAFG00000019915	ENSCAFT00000031682	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXO3	ENSCAFG00000003783	ENSCAFT00000006080	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FOXP1	ENSCAFG00000006461	ENSCAFT00000010476	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FOXP4	ENSCAFG00000001596	ENSCAFT00000002501	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FOXR1	ENSCAFG00000012417	ENSCAFT00000019708	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FOXR1	ENSCAFG00000012417	ENSCAFT00000019713	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FOXR1	ENSCAFG00000012417	ENSCAFT00000048756	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
FRAS1	ENSCAFG00000008752	ENSCAFT00000013952	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRAS1	ENSCAFG00000008752	ENSCAFT00000047713	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRAS1	ENSCAFG00000008752	ENSCAFT00000049130	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FREM2	ENSCAFG00000006019	ENSCAFT00000009710	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRMD3	ENSCAFG00000001446	ENSCAFT00000002259	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
FRMD4A	ENSCAFG00000004728	ENSCAFT00000007609	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FRMD4A	ENSCAFG00000004728	ENSCAFT00000046197	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
FRMD5	ENSCAFG00000013473	ENSCAFT00000021374	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRRS1	ENSCAFG00000020052	ENSCAFT00000031906	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FRYL	ENSCAFG00000001972	ENSCAFT00000003138	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FRYL	ENSCAFG00000001972	ENSCAFT00000003145	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
FSCN3	ENSCAFG00000001721	ENSCAFT00000002697	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FSCN3	ENSCAFG00000001721	ENSCAFT00000045561	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FSHB	ENSCAFG00000010282	ENSCAFT00000016385	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
FSIP2	ENSCAFG00000014480	ENSCAFT00000022989	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
FSIP2	ENSCAFG00000014480	ENSCAFT00000045208	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
FSTL3	ENSCAFG00000023272	ENSCAFT00000035683	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FSTL4	ENSCAFG00000000968	ENSCAFT00000001498	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FSTL4	ENSCAFG00000000968	ENSCAFT00000038889	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FUBP1	ENSCAFG00000020361	ENSCAFT00000032426	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FUBP1	ENSCAFG00000020361	ENSCAFT00000046408	protein_coding	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FUCA1	ENSCAFG00000013073	ENSCAFT00000020742	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FURIN	ENSCAFG00000012353	ENSCAFT00000019649	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FUS	ENSCAFG00000016862	ENSCAFT00000026694	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
FUT10	ENSCAFG00000006336	ENSCAFT00000010244	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FUT8	ENSCAFG00000016231	ENSCAFT00000025758	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FXYD3	ENSCAFG00000007124	ENSCAFT00000011413	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
FXYD6	ENSCAFG00000032273	ENSCAFT00000020390	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FXYD6	ENSCAFG00000032273	ENSCAFT00000049598	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FYCO1	ENSCAFG00000013851	ENSCAFT00000022002	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FYCO1	ENSCAFG00000013851	ENSCAFT00000043936	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FZD9	ENSCAFG00000013159	ENSCAFT00000020894	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
FZR1	ENSCAFG00000019222	ENSCAFT00000030508	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
G6PC3	ENSCAFG00000014372	ENSCAFT00000022829	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GAB3	ENSCAFG00000019613	ENSCAFT00000044495	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GABARAPL2	ENSCAFG00000031455	ENSCAFT00000049671	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GABBR2	ENSCAFG00000002487	ENSCAFT00000003925	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
GABPA	ENSCAFG00000008512	ENSCAFT00000013519	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GABRA1	ENSCAFG00000001883	ENSCAFT00000027295	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GABRB1	ENSCAFG00000001889	ENSCAFT00000002993	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
GABRP	ENSCAFG00000016945	ENSCAFT00000026815	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GABRR3	ENSCAFG00000009124	ENSCAFT00000014509	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GABRR3	ENSCAFG00000009124	ENSCAFT00000042882	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GADD45A	ENSCAFG00000029474	ENSCAFT00000046905	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GADL1	ENSCAFG00000028789	ENSCAFT00000050127	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAL3ST4	ENSCAFG00000014551	ENSCAFT00000023104	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GALC	ENSCAFG00000017337	ENSCAFT00000027473	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
GALC	ENSCAFG00000017337	ENSCAFT00000036273	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
GALNT11	ENSCAFG00000004932	ENSCAFT00000007938	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GALNT14	ENSCAFG00000005328	ENSCAFT00000049166	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GALNT15	ENSCAFG00000005887	ENSCAFT00000009498	protein_coding	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
GALNT18	ENSCAFG00000007691	ENSCAFT00000012310	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GALNT5	ENSCAFG00000009254	ENSCAFT00000014698	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GAREM2	ENSCAFG00000004251	ENSCAFT00000006819	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GARNL3	ENSCAFG00000020142	ENSCAFT00000032068	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAS2L1	ENSCAFG00000012219	ENSCAFT00000019422	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GAS2L3	ENSCAFG00000006883	ENSCAFT00000011056	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS2L3	ENSCAFG00000006883	ENSCAFT00000044125	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GAS6	ENSCAFG00000006421	ENSCAFT00000010387	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GBA2	ENSCAFG00000030134	ENSCAFT00000043004	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GBF1	ENSCAFG00000010131	ENSCAFT00000016098	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBF1	ENSCAFG00000010131	ENSCAFT00000016108	protein_coding	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBX1	ENSCAFG00000004799	ENSCAFT00000007725	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
GCSAM	ENSCAFG00000030826	ENSCAFT00000047335	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GDAP1	ENSCAFG00000008178	ENSCAFT00000013007	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDF10	ENSCAFG00000016196	ENSCAFT00000025699	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GDF15	ENSCAFG00000014882	ENSCAFT00000023627	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GDF3	ENSCAFG00000032763	ENSCAFT00000042973	protein_coding	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GDPD5	ENSCAFG00000005395	ENSCAFT00000008678	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GDPD5	ENSCAFG00000005395	ENSCAFT00000008679	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GEMIN4	ENSCAFG00000024432	ENSCAFT00000037731	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GEN1	ENSCAFG00000003748	ENSCAFT00000006025	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GFI1	ENSCAFG00000020155	ENSCAFT00000032093	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GFI1	ENSCAFG00000020155	ENSCAFT00000049499	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GFM1	ENSCAFG00000009006	ENSCAFT00000014349	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFM1	ENSCAFG00000009006	ENSCAFT00000045997	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFM2	ENSCAFG00000008298	ENSCAFT00000013183	protein_coding	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
GFRA1	ENSCAFG00000011782	ENSCAFT00000018723	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFRA1	ENSCAFG00000011782	ENSCAFT00000038341	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFRA2	ENSCAFG00000010049	ENSCAFT00000015978	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GFRA2	ENSCAFG00000010049	ENSCAFT00000045364	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGA3	ENSCAFG00000004741	ENSCAFT00000007629	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3
GGH	ENSCAFG00000007203	ENSCAFT00000011551	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGT6	ENSCAFG00000015282	ENSCAFT00000024272	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GGT7	ENSCAFG00000007598	ENSCAFT00000012154	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GHRHR	ENSCAFG00000023315	ENSCAFT00000004994	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GIGYF2	ENSCAFG00000011484	ENSCAFT00000018353	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GIGYF2	ENSCAFG00000011484	ENSCAFT00000044301	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GIGYF2	ENSCAFG00000011484	ENSCAFT00000045080	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GIGYF2	ENSCAFG00000011484	ENSCAFT00000049405	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
GIMAP4	ENSCAFG00000004579	ENSCAFT00000007379	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GIMAP6	ENSCAFG00000024858	ENSCAFT00000038426	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GINM1	ENSCAFG00000032487	ENSCAFT00000046676	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GIPC1	ENSCAFG00000016295	ENSCAFT00000025844	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GJA9	ENSCAFG00000024932	ENSCAFT00000038555	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GJE1	ENSCAFG00000030263	ENSCAFT00000046844	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
GKAP1	ENSCAFG00000001425	ENSCAFT00000002216	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GKAP1	ENSCAFG00000001425	ENSCAFT00000043998	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GLB1L2	ENSCAFG00000009737	ENSCAFT00000015466	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLB1L3	ENSCAFG00000024722	ENSCAFT00000015463	protein_coding	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLB1L3	ENSCAFG00000024722	ENSCAFT00000015473	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
GLCE	ENSCAFG00000017520	ENSCAFT00000027753	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GLCE	ENSCAFG00000017520	ENSCAFT00000046216	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
GLDC	ENSCAFG00000001416	ENSCAFT00000002193	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLI3	ENSCAFG00000003535	ENSCAFT00000005687	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLI3	ENSCAFG00000003535	ENSCAFT00000049220	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GLI4	ENSCAFG00000029287	ENSCAFT00000046105	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
GLP1R	ENSCAFG00000001547	ENSCAFT00000002418	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GLP1R	ENSCAFG00000001547	ENSCAFT00000043167	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GLP1R	ENSCAFG00000001547	ENSCAFT00000049553	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
GLP2R	ENSCAFG00000017446	ENSCAFT00000027649	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
